E[1] [eV],Re(eps)_ecutwfc_30,Re(eps)_ecutwfc_40,Re(eps)_ecutwfc_50,Re(eps)_ecutwfc_60,Re(eps)_ecutwfc_70,Re(eps)_ecutwfc_80,Re(eps)_ecutwfc_90,Re(eps)_ecutwfc_100
18.909770,0.68507500,0.69148500,0.70246600,0.69989300,0.71128400,0.71507600,0.71580500,0.71634900
18.947370,0.69522900,0.66979600,0.69276700,0.69027400,0.69534700,0.69830700,0.69888800,0.69932900
18.984960,0.70461700,0.65904700,0.69339900,0.69012700,0.68826000,0.68910500,0.68931800,0.68950600
19.022560,0.70545700,0.65635500,0.69703800,0.69194100,0.68790500,0.68739000,0.68734200,0.68734200
19.060150,0.70002000,0.65341600,0.69339600,0.69607900,0.69245900,0.69119600,0.69098500,0.69085100
19.097740,0.70189800,0.64686300,0.68203200,0.69953900,0.69855400,0.69727300,0.69701900,0.69683000
19.135340,0.71094400,0.64778300,0.67210900,0.69499300,0.69730200,0.69701500,0.69692700,0.69684500
19.172930,0.71840000,0.66145800,0.67005700,0.68157300,0.68779500,0.68881800,0.68897400,0.68906900
19.210530,0.72134300,0.68047600,0.67694900,0.67058400,0.67914300,0.68093700,0.68124400,0.68143600
19.248120,0.72159500,0.70003000,0.68949200,0.67016100,0.67653900,0.67810800,0.67838600,0.67855800
